obs_id,name,entry_status,mp_year,other_docs,net_ids,country,region,subregion,num_areas,num_nt_areas,size,nt_size,protection,network,cc_threat,cc_ap,cons_obj,sp_vs_unit,sp_feat,unit_feat,cc_obj,obj_details,cc_va,other_assess,va_action,va_details,des_net,des_cc,des_res,sci_monitor,social_monitor,cc_monitor,cc_monitor_det,adap_man,adap_design,mp_time,work_plan,am_det,int_man,cc_actions,act_type,act_motive,Notes
122,Zona marina del Archipiélago de San Lorenzo,Complete,2014,,,Mexico,Pacific,East - Gulf of California,1,3,582,88.1,Zoning - 3 NT core areas,"NS, Mexico National System?",Yes,Yes,Yes,NR,NR,NR,Explicit,"Evaluate CC impacts and potential effects on ecosystems and communities, promote adaptation capacity of ecosystems and populations in zone of influence",NS,Planned,NS,Goal to prepare Risk atlas and protocols for extreme events at landscape scale,NS,NS,"Yes - Detailed analysis for subzoning based on ecological, developmental, socieconomic factors including vulnerability and at-risk areas",Yes,Yes,Explicit,Establish baselines and permanent monitoring system for ecological conditions and climate change,Yes,,NS,1,"MP will be 'reviewed and updated', annual work plans",Yes,Yes,"IP, FR, EO, IL, GO, IS, HR",Yes,
22,Basin Head Marine Protected Area,Complete,2014,Watershed Management Plan,,Canada,Atlantic,North,1,1,8.52,0.24,Zoning,National System of Protected Areas,Yes,No,Yes,Both,Basin Head Irish moss (Chondrus crispus),"Maintain water quality and habitat, physical structure, ecological integrity ",No,NA,NS,NS,NS,NS,No,NS,Yes - Zoning for protection of unique floating Irish moss habitat,"Water quality (nitrate, nitrites, phosphates, chlorophyll, turbidity, temperature, dissolved oxygen, salinity, contamination), water temperature, erosion, water circulation, floating moss biomass and coverage, green algae coverage, fish and invert abundance and density",NS,Implicit,"Extensive scientific monitoring would provide potential info about climate change effects, but that was not stated",Yes,,5,,,Yes,Yes,,,Primarily single-purpose: Basin Head Irish floating moss
104,Reserva Biológica Marinha Do Arvoredo,Complete,2004,,,Brazil,Atlantic,West,1,1,167,167,Zoning - NT,NS,No,NA,Yes,NR,NR,NR,No,NA,NS,NS,NS,NS,NS,NS,"Yes - zoning used conservation status, representativity, among others",ID,Yes - tourism info,NS,NS,Yes,Zoning,NS,NS,Recovery Zone - 'provisional' zone for heavily influenced areas that will be reincorporated into the permanent zones once retored,Yes,NS,NA,NA,
126,South Australia Marine Parks Management Plans,Complete,2012,,,Australia,Indian,Great Australian Bight,28,NR,NR,NR,Separate areas with individual MPs,NRSMPA,No,NA,NR,NR,NR,NR,No,NA,NS,NS,NS,NS,NS,NS,NS,ID,ID,NS,NS,Yes,NS,10,NS,,Yes,NS,NA,NA,
110,Ponta do Ouro Marine Protected Area,Complete,2011,,,Mozambique,Indian,NA,1,1,694,63,Zoning - Sanctuary Areas are NT,NS,No,NA,Yes,Both,NR,NR,No,NA,NS,NS,NS,NS,NS,NS,NS,Yes,Yes,Implicit,"Long-term monitoring projects, mentions use of indicators as early-warning system for pressures",Yes,,NS,1,"""Regularly"", annual activity plans",Yes,Yes,HR,No,
111,Guadeloupe Archipelago Biosphere Reserve,Complete,2009,,,Guadeloupe,Atlantic,Caribbean,1,9,1289,32,Zoning - Core Areas are NT,NS,Yes,No,Yes,NR,NR,NR,No,NA,NS,NS,NS,NS,NS,NS,NS,Yes,Yes,Explicit,System for monitoring changes in sea temperature and coral bleaching,Yes,,5,1,Annual work plan,Yes,Yes,TO,Yes,
115,Reserva Biosfera Caribe Mexicano,Complete,2018,,,Mexico,Atlantic,Caribbean,1,5,57302,19329,Zoning - Core and Buffer,"NS, Mexico National System?",Yes,Yes,Yes,NR,NR,NR,Explicit,"Reduce ecosystem vulnerabilty, increase capacity to adapt to climate change; generate actions that contribute to resilience and connectivity, maintain essential ecological processes",Planned,NS,Planned,Long-term VA which incorporates design strategies to reduce potential CC impacts,NS,NS,NS,Yes,Yes,Explicit,Establish database for monitoring climate change related variables,Yes,,NS,1,"MP will be 'reviewed and updated', annual work plans",Yes,Yes,"HR, PO, IS, TO, MD",Yes,
131,Rowley Shoals Marine Park,Complete,2007,,,Australia,Indian,East,3,3,878,215,Zoning - 3 NT areas within 3larger general use areas (both shoals and Scott Reef),NRSMPA,Yes,No,NR,NR,NR,NR,Implicit,Performance measures for indirect (e.g. nutrient enrichment impacts on seagrass meadows) and direct (e.g. mooring impacts on seagrass meadows) impacts may focus on surrogate (e.g. changes in phytoplankton biomass and species composition) and direct (e.g. changes in seagrass biomass) measures of the value respectively. ,NS,Yes,NS,"General risk assessment completed, with plans to update every 3 years",NS,NS,NS,Yes,Yes,Implicit,"Indicators, measurements, and targets for each ecological and social value; establish baselines to track changes in status through time",Yes,Zoning,10,NS,Annual and 3-year reviews,Yes,NS,NA,NA,
132,Ngari Capes Marine Park,Complete,2013,,,Australia,Indian,East,1,15,1224,135.3,Zoning - 15 NT sanctuary zones,NRSMPA,Yes,No,NR,NR,NR,NR,Implicit,Establish baselines to track changes,NS,Planned,NS,Risk assessment planned,NS,NS,NS,Yes,Yes,Implicit,"Indicators, measurements, and targets for each ecological and social value; establish baselines to track changes in status through time",Yes,Zoning,10,NS,Zoning plan assessed as part of 10-year review,Yes,NS,NA,NA,
21,"Guanabara, Estacao Ecologica",Complete,2012,,,Brazil,Atlantic,West,1,1,2.33,2.33,Zoning - NT,NS,No,NA,Yes,Both,"Mangroves, rare species (listed), important fish stocks","Ecosystem services (shoreline protection, water attenuation, climatic balance, water purification, support to fisheries, carbon fixation), bird nesting habitat, ",No,NA,NS,NS,NS,NS,No,NS,"Zoning - based on vegetation conservation, environmental variability, species richness/diversity, transition area, vulnerability, conflicting use, population presence",NS,NS,NS,NS,Yes,Zoning,5,NS,Recovery Zone - 'provisional' zone for heavily influenced areas that will be reincorporated into the permanent zones once retored,Yes,Yes,"AZ, HR",No,
116,Isla Guadalupe,Complete,2013,,,Mexico,Pacific,East,1,1,4520,NS,Zoning - Core and Buffer,"NS, Mexico National System?",Yes,Yes,Yes,NR,NR,NR,Explicit,Promote knowledge; promote alternative energy projects,Planned,NS,Planned,"Conduct evaluations to determine the degree of alteration of fragile/senstive ecosystems and their populations, determine impacts, acceptable change limits, and strategies to mitigate",NS,NS,NS,Yes,Yes,Explicit,Establish baseline monitoring and indicators for climate change,Yes,,NS,1,"MP will be 'reviewed and updated', annual work plans",Yes,Yes,"FR, GO",Yes,
117,Isla San Pedro Mártir,Complete,2011,,,Mexico,Pacific,East - Gulf of California,1,1,291,NS,Zoning - Core and Buffer,"NS, Mexico National System?",Yes,Yes,Yes,NR,NR,NR,Explicit,"Evaluate and monitor disturbance regimes, specifically relative to how they are changing with global warming - forecast and potential occurrence, impacts, coordination for protecting to maintain large-scale ecological processes (e.g. hurricanes, storm strength and frequency, ENSO, red tide, migrations)",Planned,NS,Planned,"Determine fragile/sensitive sites, conduct vulnerability and viability analysis of populations and their relationship with habitat/characteristics, indicators of impact to measure preservation and impacts, strategy to limit traffic in fragile placess, control erosion/degradation",NS,NS,NS,Yes,Yes,Explicit,"Monitoring 'disturbance regimes' and their changes/impacts; limits of acceptable change, determine and implement population indicators for species by risk category, deterioration factors, and historical variations; Establishing baselines and indicators",Yes,,NS,1,"MP will be 'reviewed and updated', annual work plans",Yes,Yes,HR,No,
118,Pacífico Mexicano Profundo Core Zone,Complete,2018,,,Mexico,Pacific,East,6,15,435968,121704,"Zoning - 15 Core Areas within 6 Buffer Zones, maybe only past 800m?","NS, Mexico National System?",Yes,No,Yes,NR,NR,NR,No,NA,NS,NS,NS,NS,NS,NS,NS,Yes,Yes,Explicit,"Coordinate to monitor changes in biological diversity, generate indicators to evaluate ecological integrity and assess long-term change",Yes,,NS,1,"MP will be 'reviewed and updated', annual work plans",Yes,NS,NA,NA,
130,Marmion Marine Park,Complete,1992,,,Australia,Indian,East,1,5,94,0.7,Zoning - 5 mini NT areas within larger general use zone,NRSMPA,Yes,No,NR,NR,NR,NR,Implicit,"Consider the long-term effects of coastal processes, in particular beach erosion, when planning for coastal structures which have design-lives of a decade or more.",NS,NS,NS,NS,NS,NS,Zoning updated to increase represesntation,Yes,NS,NS,NS,Yes,Zoning,10,NS,MP valid for 10years,Yes,NS,NA,NA,
133,Shoalwater Islands Marine Park,Complete,2007,,,Australia,Indian,East,1,3,66,3.86,Zoning - 3 NT sanctuary zones,NRSMPA,Yes,No,NR,NR,NR,NR,Implicit,Establish baselines to track changes,NS,Yes,NS,General risk assessment completed,NS,NS,Zoning with representative of key habitats and species,Yes,Yes,Implicit,"Indicators, measurements, and targets for each ecological and social value; establish baselines to track changes in status through time",Yes,Zoning,10,NS,Zoning plan assessed as part of 10-year review,Yes,NS,NA,NA,
144,Small North-East Islands,Complete,2002,,,Australia,Pacific,Tasman Sea,3,3,1,0.5,Zoning - NT,,No,NA,NR,NR,NR,NR,No,NA,NS,NS,NS,NS,NS,NS,NS,Yes,Yes,Implicit,Monitoring to determine long-term trends,NS,NS,10,NS,Update MP every 10 years,Yes,Yes,IS,No,
145,Parque Nacional Tortuguero,NR,2014,BIOMARCC Plan,,Costa Rica,Atlantic,Caribbean,1,1,507,507,NT - Additional zoning,,Yes,No,NR,NR,NR,NR,No,NA,NS,Yes,NS,Assessment based on indicators and trends; sensitivity to various threats,NS,NS,NS,Yes,Yes,Explicit,Monitoring impacts and indicators,Yes,NS,10,NS,Update MP every 10 years,Yes,NS,NA,NA,
151,Krajinski Park Strunjan,Complete,2017,,,Slovenia,Mediterranean,Adriatic Sea,1,1,1.48,0.15,Zoning,,Yes,No,NR,NR,NR,NR,No,NA,NS,NS,NS,NS,NS,NS,NS,Yes,Yes,Implicit,Indicators and trends in status of conservation values,Yes,NS,10,NS,NS,Yes,NS,NA,NA,
139,Pulau Tinggi and Pulau Sibu Marine Park Management Plan,Complete,2012,,,Malaysia,Pacific,South China Sea,2,2,190,190,"Zoning - All NT, other uses restricted",,Yes,No,NR,NR,NR,NR,No,NA,NS,NS,NS,NS,NS,NS,NS,Yes,Yes,Explicit,"""Monitoring enables park managers to understand the overall status of the ecosystem, determine natural reference levels of variability, and detect unanticipated and subtle long-term changes caused by diffuse anthropogenic activity."" And specifically states research to understand impacts of climate change",Yes,Zoning,5,NS,Specifies various timelines for reviewing from 1-5 years; zoning revision is on 5-year timeline,Yes,Yes,"HR, IS, PO",No,Cool action table with information and timeline
140,Pulau Tioman Marine Park,Complete,2012,,,Malaysia,Pacific,South China Sea,2,2,244,244,"Zoning - All NT, other uses restricted",,Yes,No,NR,NR,NR,NR,No,NA,NS,NS,NS,NS,NS,NS,NS,Yes,Yes,Explicit,"""Monitoring enables park managers to understand the overall status of the ecosystem, determine natural reference levels of variability, and detect unanticipated and subtle long-term changes caused by diffuse anthropogenic activity."" And specifically states research to understand impacts of climate change",Yes,Zoning,5,NS,Specifies various timelines for reviewing from 1-5 years; zoning revision is on 5-year timeline,Yes,Yes,"HR, IS, PO",No,Cool action table with information and timeline
141,Ahihi-Kinau Natural Area Reserve,Complete,2012,,,United States,Pacific,Central,1,1,3,3,NT,,Yes,No,Yes,Both,NR,NR,Explicit,NR,NS,Yes,Yes,Current status and threat ratings for various threats - for each conservation feature *very cool qualitative targets and threats tables,NS,NS,NS,Yes,Yes,Explicit,"NR - monitoring coral health disease, climate impacts, research historical trends",Yes,NS,3,NS,,Yes,Yes,"IS, PO",Yes,Specifies reducing other threats for climate resilience
119,Isla de Cozumel,Complete,2016,,,Mexico,Atlantic,Caribbean,1,1,323,4,Zoning,"NS, Mexico National System?",Yes,Yes,Yes,NR,NR,NR,Explicit,"Contribute to climate adaptation measures, support conservation actions for vulnerable habitats",NS,Yes,NS,"Established health status of conservation objects by identifying key attributes, indicators, and acceptable ranges of variation",NS,NS,NS,Yes,Yes,Explicit,Monitor impacts of CC on biodiversity emphasizing indicators already systematically used in PAs or the region,Yes,,NS,1,"MP will be 'reviewed and updated', annual work plans",Yes,Yes,"IP, HR, IS",Yes,
136,Bird Island Marine Sanctuary,Complete,2007,,,United States - Marianas Islands,Pacific,West,1,1,1.25,1.25,NT,,No,NA,NR,NR,NR,NR,No,NA,NS,NS,NS,NS,NS,NS,NS,Yes,Yes (mainly visitor uses),Implicit,Use baselines and indicators to track changes through time,Yes,NS,15,NS,,Yes,NS,NA,NA,
137,Forbidden Island Marine Sanctuary,Complete,2007,,,United States - Marianas Islands,Pacific,West,1,1,2.49,2.49,NT,,No,NA,NR,NR,NR,NR,No,NA,NS,NS,NS,NS,NS,NS,NS,Yes,Yes (mainly visitor uses),Implicit,Use baselines and indicators to track changes through time,Yes,NS,15,NS,,Yes,NS,NA,NA,
138,Managaha Marine Conservation Area,Complete,2005,,,United States - Marianas Islands,Pacific,West,1,1,4.97,4.97,NT,,No,NA,NR,NR,NR,NR,Implicit,Monitoring establishing baselines to track changes over time,NS,NS,NS,NS,NS,NS,NS,Yes,Yes (mainly visitor uses),Implicit,Use baselines and indicators to track changes through time,Yes,NS,15,NS,,Yes,NS,NA,NA,
146,Refugio Nacional Gandoca Manzanillo,Complete,1996,,,Costa Rica,Atlantic,Caribbean,1,1,59,59,NT - Additional zoning,,No ,NA,NR,NR,NR,NR,No,NA,NS,NS,NS,NS,NS,NS,NS,Yes,Yes,NS,NA,Yes,Zoning,15,NS,NS,Yes,NS,NA,NA,
121,Zona marina del Archipiélago de Espíritu Santo,Complete,2014,,,Mexico,Pacific,East - Gulf of California,1,3,480,6.66,Zoning - 3 NT core areas,"NS, Mexico National System?",Yes,Yes,Yes,NR,NR,NR,Explicit,Promote use of alternative energy in marine area and zone of influence; action plan to encourage use long-term; promote public wareness and local participation in mitigation actions,NS,NS,NS,NS,NS,NS,NS,Yes,Yes,NS,NS,Yes,,NS,1,"MP will be 'reviewed and updated', annual work plans",Yes,Yes,"GO, EO; IP, IS, HR",Yes,
26,Kisite-Mpunguti Marine Protected Area,Other Docs NR,2015,"Kenya Wildlife Service Protected Areas Planning Framework, National Strategy for Coral Reef and Seagrass Conservation (guides those actions)",,Kenya,Indian,NA,1,2,46,34,"Zoning - Kisite is completely no take (Core Zone) whereas Mpunguti allows sustainable recreational and artisanal fishing (Partially Protected Zone), ",Kisite-Mpunguti MPA (two areas managed together),Yes,Yes,Yes,Both,"Specific species chosen based on high value in biodiversity, productivity, economic, providing a sensitive habitat, as an indicator of ecosystem health, endangered/threatened - reef fish, threatened marine mammals, and sea turtles (with plans to conduct inventories to highlight any other missing species)","Habitats chosen for high biodiversity/productivity/economic value, sensitive habitats, services provided (e.g. shoreline protection, spawning grounds, habitats and nursery/breeding grounds), being specifically resilient (seagrasses), sediment trap/nutrient recycling, carbon sink, critical habiatas",Explicit,"*Excellent conservation target table* Notes choosing seagrasses because they are highly resilient, carbon sinks (relevant to climate change)",NS,Planned,Planned,Action to conduct a review of existing information and research on climate change to examine how potential impacts could affect the area (but does not call it a VA),No,"Protect resilient areas, carbon sinks",NS,"In development, but excellent - outlines key ecological attributes and threats for each conservation target, its associated indicator and measurement methods/frequency","In development - plan to monitor tourism through Tourism Development and Management Programme (visitor numbers, pollution/litter/habitat degradation, revenue, participation at maangement meetings, public awareness) and fishery-related indicators through Fishery Resource Management Programme (collaborations, illegal incidents, adherance to zoning scheme, research, arrests, agreements, income-generating initiatives, Env. Impact Assessments)",Implicit,NS,Yes,,10,3,10-year MP with 3-year action plans reviewed every 3 years,Yes,Yes,"HR, IP, TO, MD, EO, FR",Yes,
107,Malindi Marine Protected Area,Complete,2016,,,Kenya,Indian,NA,1,1,169,6,Zoning - 1 NT area,NS,Yes,No,Yes,Both,"Specific species chosen based on high value in biodiversity, productivity, economic, providing a sensitive habitat, as an indicator of ecosystem health, endangered/threatened - reef fish, threatened marine mammals, and sea turtles (with plans to conduct inventories to highlight any other missing species)","Habitats chosen for high biodiversity/productivity/economic value, sensitive habitats, services provided (e.g. shoreline protection, spawning grounds, habitats and nursery/breeding grounds), being specifically resilient (seagrasses), sediment trap/nutrient recycling, carbon sink, critical habiatas",Explicit,"*Excellent conservation target table* Notes choosing seagrasses because they are highly resilient, carbon sinks (relevant to climate change)",NS,Planned,Planned,Action to conduct a review of existing information and research on climate change to examine how potential impacts could affect the area (but does not call it a VA),NS,NS,NS,Yes,Yes,Explicit,Monitor impact of climate change on species of concern,Yes,,10,3,10-year MP with 3-year action plans reviewed every 3 years,Yes,Yes,"TO, HR, IS",Yes,
108,Watamu Marine Protected Area,Complete,2016,,,Kenya,Indian,NA,1,1,20,11,Zoning - 1 NT area,NS,Yes,No,Yes,Both,"Specific species chosen based on high value in biodiversity, productivity, economic, providing a sensitive habitat, as an indicator of ecosystem health, endangered/threatened - reef fish, threatened marine mammals, and sea turtles (with plans to conduct inventories to highlight any other missing species)","Habitats chosen for high biodiversity/productivity/economic value, sensitive habitats, services provided (e.g. shoreline protection, spawning grounds, habitats and nursery/breeding grounds), being specifically resilient (seagrasses), sediment trap/nutrient recycling, carbon sink, critical habiatas",Explicit,"*Excellent conservation target table* Notes choosing seagrasses because they are highly resilient, carbon sinks (relevant to climate change)",NS,Planned,Planned,Action to conduct a review of existing information and research on climate change to examine how potential impacts could affect the area (but does not call it a VA),NS,NS,NS,Yes,Yes,Explicit,Monitor impact of climate change on species of concern,Yes,,10,3,10-year MP with 3-year action plans reviewed every 3 years,Yes,Yes,"TO, HR, IS",Yes,
10,Raja Ampat Islands Marine Protected Area Network,Complete,2017,None,,Indonesia,Pacific,West,6,2,9575,684,Zoning,Raja Ampat Islands Marine Protected Area Network,Yes,No,Yes,Both,"Reef and pelagic fish with important economic value for food security and sustainable cmomunity fisheries (e.g. grouper, napoleon, mackerel), other species (e.g. catfish, dugongs, Indo-Pacific humpback dolphins, crab, crocodile), marine mammals, sharks, manta rays","Habitats for species listed in sp. features, reef fish biodiversity, mangroves, coral reefs, seagrass, fish spawning sites, turtle habitat and nesting sites, migration corridors and aggregation areas",Implicit,"Objectives and targets do not mention climate change but emphasize sustainable use, maintaining ecosystem function, reducing and eliminating potential threats and pressures",Planned,NS,NS,Planned vulnerability assessment as part of regional resource management strategy,No,"Zoning; core areas with no activity, sustainable fisheries zones with separate areas for only traditional/sasi use, and tourism/other use zones",NS,"Coral cover, invasive species",Tourism,Implicit,Somewhat unclear,Yes,Zoning,20,,NR,Yes,Yes,,,
78,"National Marine Sanctuary of American Samoa (Fagatele Bay, Rose Atoll National Wildlife Refuge)",Complete,2014,Final Restoration Plan for Rose Atoll National Wildlife Refuge 2001 (NR),,United States - American Samoa,Pacific,Central,1,1,34838,34838,NT,NS,Yes,Yes,Yes,Both,"Extensive and specific objectives; ""priority resources of concern""",Extensive and specific objectivevs,No,NA,Planned,NS,NS,VA for communities,NS,"""Research zone"" specifically for establishing baselines to climate change",NS,Extensive,Extensive,Explicit,"Monitor climate change variables including sea level, temperature (air/water/substrate), water quality (pH, conductivity, dissolved oxygen, nitrogen, photosynthetically available light (PAR), phosphorus, iron), the frequency and duration of extreme storm events, and biological responses (phenological, developmental, physiological). More specific actions for tracking changes in habitats and characteristics to provide insight into effects.",Yes,,15,5,"5 year reviews, 15-year revision",Yes,Yes,,,
