Table S5. Relevant explicit climate change details collected from each plan,,,,
Plan,Name,Component,Indicator,Strategy
118,Pacífico Mexicano Profundo Core Zone,Climate,Discusses protection as climate mitigation strategy,"protected areas reduces the impact that
anthropogenic activities have on the climate
and constitutes a natural mechanism or
process that absorbs a greenhouse gas,"
119,Isla de Cozumel,Climate,Discusses protection as climate mitigation strategy,Notes how protected areas contribute to climate mitigation through carbon storage; lagoons also filtering water and protecting land from winds/tides
119,Isla de Cozumel,Climate,Discusses role of area as carbon sink,Notes how protected areas contribute to climate mitigation through carbon storage; lagoons also filtering water and protecting land from winds/tides
119,Isla de Cozumel,Climate,Comprehensive climate change action plan (e.g. separate plan or specific detailed section with multiple objectives and actions),Actions that contribute resilience and ecological connectivity between habitats that maintain essential ecosystem processes
119,Isla de Cozumel,Objectives,Objectives explicitly connected to climate change,"Contribute to climate adaptation measures, support conservation actions for vulnerable habitats; Actions that contribute resilience and ecological connectivity between habitats that maintain essential ecosystem processes"
119,Isla de Cozumel,Objectives,Monitoring climate effects and/or indicators,"""Support the design, implementation and evaluation of monitoring protocols that contribute
to monitoring the impacts of global climate change on biodiversity, emphasizing the indicators
that are already systematically recorded in the PNAs or in the region."""
119,Isla de Cozumel,Design,Design principles applied with explicit climate change context,Identify areas that present natural resilience to disturbances and establish strict conservation mechanisms in order to mitigate impacts associated with climate change - encourage and link protection of vulnerable habitats for connetivity
119,Isla de Cozumel,Design,Protect critical species or habitats (for cc),Promote conservation/restoration species key for maintaining ecological processes of the system
119,Isla de Cozumel,Management,Reduction of other threats linked to climate resilience,Identify areas that present natural resilience to disturbances and establish strict conservation mechanisms in order to mitigate impacts associated with climate change - encourage and link protection of vulnerable habitats for connetivity
119,Isla de Cozumel,Management,Strategy applied specifically for climate change,"Within climate change section: Promote the conservation and/or restoration of species that are key to maintaining the
ecological processes of the ecosystem"
120,Sistema Arrecifal Veracruzano,Climate,Discusses protection as climate mitigation strategy,Generic note of how protected areas contribute to climate mitigation through carbon storage
120,Sistema Arrecifal Veracruzano,Climate,Discusses role of area as carbon sink,Generic note of how protected areas contribute to climate mitigation through carbon storage
120,Sistema Arrecifal Veracruzano,Climate,Comprehensive climate change action plan (e.g. separate plan or specific detailed section with multiple objectives and actions),"Promote design and implementation (participatory) of an ""Adaptation to Climate Change"" program"
120,Sistema Arrecifal Veracruzano,Objectives,Objectives explicitly connected to climate change,"Reduce vulnerability of ecosystems, increasing ability to adapt to CC, conduct VA and incorporate strategies to reduce CC impacts; monitor GHG emissions, establish CC and environmental database"
120,Sistema Arrecifal Veracruzano,Objectives,Maintain function/biodiversity in climate change,"""The conservation and management of PNAs
constitute a measure of adaptation and
mitigation to climate change, since the
protection and conservation of ecosystems
and biodiversity reduce vulnerability and ensures the environmental services
on which society depends"""
120,Sistema Arrecifal Veracruzano,Objectives,Enhance overall system resilience to climate change,"""The conservation and management of PNAs
constitute a measure of adaptation and
mitigation to climate change, since the
protection and conservation of ecosystems
and biodiversity reduce vulnerability and ensures the environmental services
on which society depends"""
120,Sistema Arrecifal Veracruzano,Objectives,Promote climate change research (or increase cc knowledge),Promote development of research projects and exchange of information on climate change
120,Sistema Arrecifal Veracruzano,Objectives,Reduce emissions; green operations,Implement work program to reduce emissions and maintain carbon stores
120,Sistema Arrecifal Veracruzano,Objectives,Improve climate change awareness/education,"""Promote the development of research projects and the exchange of information on
climate change"""
120,Sistema Arrecifal Veracruzano,Assessment,Conducted climate change vulnerability assessment,"Conduct VA in zone of influence and incorporate adaptation measures and actions to reduce impacts; manage development of local risk atlas and protocols for extreme events; Risk atlas focused on climate change - prevention and control of environmental contingencies (red tides, hurricanes, stranding) - develop monitoring procedures for areas based on damage caused and define procedures for temporary closure of affected sites for protection and restoration"
121,Zona marina del Archipiélago de Espíritu Santo,Climate,Discusses role of area as carbon sink,Mangrove carbon sequestration
121,Zona marina del Archipiélago de Espíritu Santo,Objectives,Objectives explicitly connected to climate change,Promote use of alternative energy in marine area and zone of influence; action plan to encourage use long-term; promote public wareness and local participation in mitigation actions
121,Zona marina del Archipiélago de Espíritu Santo,Objectives,Reduce emissions; green operations,Promote exclusive use of alternative energy in the NP and zone of influence - develop action plan for encouraging use of alternative energies
121,Zona marina del Archipiélago de Espíritu Santo,Objectives,Improve climate change awareness/education,Promote public education and local participation in climate change mitigation actions through advertising or events
121,Zona marina del Archipiélago de Espíritu Santo,Management,Increasing compliance applied as climate strategy,"""Promote social participation in actions
to detect and report illicit acts within
the Anp."""
122,Zona marina del Archipiélago de San Lorenzo,Climate,Discusses protection as climate mitigation strategy,Conserve ecosystems to maintain carbon sinks and avoid loss of ecological carbon sequestration services
122,Zona marina del Archipiélago de San Lorenzo,Climate,Discusses role of area as carbon sink,Conserve ecosystems to maintain carbon sinks and avoid loss of ecological carbon sequestration services
122,Zona marina del Archipiélago de San Lorenzo,Climate,Comprehensive climate change action plan (e.g. separate plan or specific detailed section with multiple objectives and actions),"Evaluate CC impacts and potential effects on ecosystems and communities, promote adaptation capacity of ecosystems and populations in zone of influence, generate permanent monitoring program, conserve ecosystems to maintain carbon sinks and avoid loss of ecological carbon sequestration services, apply National Climate Change Strategy Objectives, promote public policies on CC (especially inter-institutional and multidisc links), safeguard local community interests when implementing mitigation measures, promote connectivity of ecosystems"
122,Zona marina del Archipiélago de San Lorenzo,Objectives,Objectives explicitly connected to climate change,"Evaluate CC impacts and potential effects on ecosystems and communities, promote adaptation capacity of ecosystems and populations in zone of influence; conserve ecosystems to maintain carbon sinks and avoid loss of ecological carbon sequestration services"
122,Zona marina del Archipiélago de San Lorenzo,Objectives,Promote climate change research (or increase cc knowledge),"""Promote research projects and the exchange of information on climate change"""
122,Zona marina del Archipiélago de San Lorenzo,Objectives,Reduce emissions; green operations,"Define baseline GHG emissions and warehouse carbon, monitor, and strengthen capacities of stakeholders for local mitigation/adaptation measures"
122,Zona marina del Archipiélago de San Lorenzo,Objectives,Improve climate change awareness/education,"Share value of protected areas as carbon sinks and alternatives to reduce climate change impacts, disseminate clear info to actors about problems and strategies against climate change to promote active participation in society"
122,Zona marina del Archipiélago de San Lorenzo,Design,Design principles applied with explicit climate change context,"Evaluate CC impacts and potential effects on ecosystems and communities, promote adaptation capacity of ecosystems and populations in zone of influence, generate permanent monitoring program, conserve ecosystems to maintain carbon sinks and avoid loss of ecological carbon sequestration services, apply National Climate Change Strategy Objectives, promote public policies on CC (especially inter-institutional and multidisc links), safeguard local community interests when implementing mitigation measures, promote connectivity of ecosystems"
122,Zona marina del Archipiélago de San Lorenzo,Design,Protect critical species or habitats (for cc),"""Promote the connectivity of ecosystems, in order to increase their existence in the face of potential
threats from climate change"""
122,Zona marina del Archipiélago de San Lorenzo,Design,Increase connectivity (for cc),Promote connectivity of ecosystem to increase their resilience to potential CC impacts
122,Zona marina del Archipiélago de San Lorenzo,Management,Increasing compliance applied as climate strategy,"""Compliance, concordance and adaptation to the climate change strategy for Protected Natural Areas"""
123,Montebello/Barrow Islands Marine Conservation Reserves,Climate,Discuss limitations with respect to adaptation and/or mitigation,"For the purposes of developing management priorities, pressures on the values are confined to current pressures and pressures likely to occur during the life of the management plan and considered to be manageable within a marine conservation reserve context. By definition, this excludes global pressures such as climate change. The potential impact of these global pressures is, however, considered in the development of the strategies for the management of the reserves. The vision and strategic objectives of the plan (Section 6) provide the longer term (>10 years) direction for management of the reserves."
124,Batemans Marine Park,Climate,Discusses protection as climate mitigation strategy,"In reference to climate change- ""communities. Finally, NSW marine park legislation will play a key role in ensuring that developments aimed at protecting privately-
and publicly-owned coastal assets (e.g. seawalls, groins, etc.) are installed appropriately and with minimum impact to marine biodiversity."""
124,Batemans Marine Park,Management,Reduction of other threats linked to climate resilience,"""Second, marine parks may reduce negative
interactions between climate change and other types of impacts (e.g. fishing and marina
construction) by directly reducing other threats to marine communities."""
125,Booderee National Park,Climate,Discusses protection as climate mitigation strategy,"""Identify, map and protect areas likely to be used as transitional or habitat refugia
that will allow for latitudinal shifts in the distribution and abundance of species
and communities in the face of climate change and sea level rise."""
125,Booderee National Park,Climate,Discusses role of area as carbon sink,"""It is necessary to better understand the impact of
land management activities (including carbon sequestration) on the size and nature of the park’s
carbon footprint to allow performance to be holistically measured and improved over time."""
125,Booderee National Park,Climate,Discuss limitations with respect to adaptation and/or mitigation,"Listed under issues: ""The Board needs clear, accurate and regular information to enable it to effectively
monitor and evaluate implementation of this plan, and advise on adapting
management directions."""
125,Booderee National Park,Objectives,Objectives explicitly connected to climate change,"Consistent with climate change strategies for the park (see Section 6.11, Climate Change) continue to monitor species or communities likely to be most at risk from impacts of climate change and identify options to improve their resilience"
125,Booderee National Park,Objectives,Maintain function/biodiversity in climate change,"""Consistent with climate change strategies for the park (see Section 6.11, Climate
Change) continue to monitor species or communities likely to be most at risk from
impacts of climate change and identify options to improve their resilience."""
125,Booderee National Park,Objectives,Monitoring climate effects and/or indicators,"""Consistent with climate change strategies for the park (see Section 6.11, Climate
Change) continue to monitor species or communities likely to be most at risk from
impacts of climate change and identify options to improve their resilience."""
125,Booderee National Park,Objectives,Promote climate change research (or increase cc knowledge),"""Continue to undertake or support research into the ecological relationships of fire
within the vegetation communities in the park, including post-fire flora and fauna

dynamics and vegetation communities’ responses to climate change and long-
term vegetation changes resulting from fire regimes."""
125,Booderee National Park,Objectives,Reduce emissions; green operations,"""Investigate, and where feasible implement, cost effective measures to reduce
greenhouse gas emissions in park operations."""
125,Booderee National Park,Management,Reduction of other threats linked to climate resilience,"""The impact of climate change can be lessened by ensuring that all existing threats to the
park’s integrity are appropriately managed. Management of fire, weeds and pest species may
need to be reviewed regularly under changing climatic conditions to assess and address
resilience of species or habitats."""
125,Booderee National Park,Management,Applied as climate strategy,"""The impact of climate change can be lessened by ensuring that all existing threats to the
park’s integrity are appropriately managed. Management of fire, weeds and pest species may
need to be reviewed regularly under changing climatic conditions to assess and address
resilience of species or habitats."""
126,South Australia Marine Parks Network,Climate,Discusses role of area as carbon sink,Carbon sequestration mentioned in the explanatory document but without context
126,South Australia Marine Parks Network,Objectives,Objectives explicitly connected to climate change,"Objective of the Marine Parks Act 2007: ""the adaptation to the impacts of climate change in the marine environment"""
126,South Australia Marine Parks Network,Objectives,Enhance overall system resilience to climate change,"""including planning for resilience in coastal ecosystems to adapt to the
impacts of climate change."""
126,South Australia Marine Parks Network,Objectives,Reduce emissions; green operations,"""Proposal to upgrade
the existing Nyrstar
smelter at Port Pirie
(Mid North), primarily
to reduce lead
emission levels"""
127,Esperance and Recherche Parks and Reserves,Objectives,Objectives explicitly connected to climate change,Reduce vulnerability to climate change
127,Esperance and Recherche Parks and Reserves,Objectives,General climate change adaptation,"""Continue to incorporate the
potential for climate change
impacts upon threatened species
and communities and develop
effective response strategies (e.g.
Gilfillan et al. 2009)."""
127,Esperance and Recherche Parks and Reserves,Objectives,Enhance overall system resilience to climate change,"""applying adaptive management and building in resilience for projected climate changes"""
127,Esperance and Recherche Parks and Reserves,Objectives,Promote climate change research (or increase cc knowledge),"""Incorporate the results of climate
change impact studies, as they
become available, into current
conservation strategies at the
regional, community and species level."""
127,Esperance and Recherche Parks and Reserves,Assessment,Conducted climate change vulnerability assessment,Vulnerability of ecosystems to climate change in regional assessment
129,Lalang-garram/Camden Sound Marine Park,Objectives,Objectives explicitly connected to climate change,Consider climate change when developing monitoring strategies
129,Lalang-garram/Camden Sound Marine Park,Objectives,Monitoring climate effects and/or indicators,Consider climate change when developing monitoring strategies
131,Rowley Shoals Marine Park,Climate,Discuss limitations with respect to adaptation and/or mitigation,"""For the purposes of developing management priorities, pressures on the values are confined to current pressures and pressures likely to occur during the life of the management plan and considered to be manageable within a marine conservation reserve context. By definition, this excludes global pressures such as climate change."""
132,Ngari Capes Marine Park,Climate,Discuss limitations with respect to adaptation and/or mitigation,"""The potential effects of global scale climate change are beyond the scope of this 10-year management
plan. Monitoring programs for the ecological values and the pressures acting on those values will be used
to provide an adaptive management response as necessary."""
133,Shoalwater Islands Marine Park,Climate,Discuss limitations with respect to adaptation and/or mitigation,"""For the purposes of developing management priorities, pressures on the values are confined to current pressures and pressures likely to occur during the life of the management plan and considered to be manageable within a marine conservation reserve context. By definition, this excludes global pressures such as climate change."""
134,Walpole and Nornalup Inlets Marine Park,Climate,Discuss limitations with respect to adaptation and/or mitigation,"""For the purposes of developing management priorities, pressures on the values are confined to current pressures and those likely to occur during
the life of the management plan and considered to be manageable within a marine park context. By definition,
this excludes global pressures such as climate change."""
135,Pulu Keeling National Park,Objectives,Reduce emissions; green operations,"""Identify and, where practicable, implement actions to reduce the carbon footprint of
park operations."""
135,Pulu Keeling National Park,Assessment,Conducted climate change vulnerability assessment,Territory-level climate change risk assessment
139,Pulau Tinggi and Pulau Sibu Marine Park Management Plan,Objectives,Objectives explicitly connected to climate change,"Research/monitoring: ""To build a systematic knowledge of marine park resources through coordinated and integrated scientific research, to contribute to an understanding of marine biodiversity and the impact from global climate change, and to protect and conserve the environment within Marine Park Areas."""
139,Pulau Tinggi and Pulau Sibu Marine Park Management Plan,Objectives,Maintain function/biodiversity in climate change,"""Protect and maintain the biological diversity and other natural
values of the area in the long term"""
140,Pulau Tioman Marine Park,Objectives,Objectives explicitly connected to climate change,"Research/monitoring: ""To build a systematic knowledge of marine park resources through coordinated and integrated scientific research, to contribute to an understanding of marine biodiversity and the impact from global climate change, and to protect and conserve the environment within Marine Park Areas."""
141,Ahihi-Kinau Natural Area Reserve,Climate,Discuss limitations with respect to adaptation and/or mitigation,"""The coarse spatial scale of current climate change data, the uncertainty inherent in projecting future greenhouse gas emissions, and the complex responses of species and ecosystems to changing climate conditions, pose challenges to addressing the threat of climate change in conservation planning.""; ""...even though the global scale of climate change is outside of the direct control of reserve managers, the short-and long-term viability of biological resources are directly related to abating direct threats at a local scale."""
141,Ahihi-Kinau Natural Area Reserve,Management,Reduction of other threats linked to climate resilience,"""...even though the global scale of climate change is outside of the direct control of reserve managers, the short-and long-term viability of biological resources are directly related to abating direct threats at a local scale.... as this is a short-term plan, it is not designed to implement long-term climate change adaptation strategies. Rather, this plan provides the best available short-term approach to the long-term problem by implementing all known conservation measures needed, thereby enhancing biological integrity and therefore conferring resilience to future impacts from climate change. To achieve resilience, managers need to focus on the most pervasive current threats, which are the focus of this plan."""
142,Maldives Biosphere Reserve,Climate,Discuss limitations with respect to adaptation and/or mitigation,"""Climate change impacts threaten sustainable developmental aspirations, through increasing
temperature, ocean acidification and storm impacts on fragile ecosystems and communities: sea
level rise threatens the very existence of the country (a rise of more than 1m is predicted over the
next century). Already, in 1998, bleaching caused significant mortality of corals, and more recently
severe weather events have caused major flooding of islands;"""
142,Maldives Biosphere Reserve,Objectives,Objectives explicitly connected to climate change,"Atoll-level objective to promote sustainable development and adaptation to CC by demanding effective environmental impact assessment and monitoring, promoting environmental restoration, supporting renewable energy initiatives"
142,Maldives Biosphere Reserve,Objectives,Reduce emissions; green operations,"""Renewable energy initiatives will be appearing on every atoll, contributing to the Maldives carbon
neutral target"""
143,California Coastal Marine Protected Area Network,Climate,Discusses protection as climate mitigation strategy,"""At the same time,
California’s MPAs could potentially help buffer California’s marine resources against the negative
impacts of climate change by providing areas of reduced pressures exerted on the resources"""
143,California Coastal Marine Protected Area Network,Climate,Discuss limitations with respect to adaptation and/or mitigation,"""Although the MLPA does not require consideration of climate change in MPA management,
the MLPP recognizes that climate change will likely have an effect on MPAs."""
143,California Coastal Marine Protected Area Network,Objectives,General climate change adaptation,"""California’s MPAs could potentially help buffer California’s marine resources against the negative
impacts of climate change by providing areas of reduced pressures exerted on the resources"""
143,California Coastal Marine Protected Area Network,Objectives,Provide natural reference area for climate change,"""Furthermore, MPAs can act as “living laboratories” to help scientists and decision-makers
understand differences in ecosystem responses to climate change both within and outside MPAs."""
143,California Coastal Marine Protected Area Network,Design,Design principles applied with explicit climate change context,"Consider the potential impacts of climate change, community alteration, and distributional shifts in marine species when designing MPA: Design used models and studies of ocean circulation, larval dispersal, optimal size and spacing distances, and projected impacts on commercial and recreational fisheries."
143,California Coastal Marine Protected Area Network,Management,Reduction of other threats linked to climate resilience,"""""""California’s MPAs could potentially help buffer California’s marine resources against the negative
impacts of climate change by providing areas of reduced pressures exerted on the resources"""""""
145,Parque Nacional Tortuguero,Climate,Discusses role of area as carbon sink,Refers to the park as carbon storage
145,Parque Nacional Tortuguero,Objectives,General climate change adaptation,"""Between 2012 and 2013, with the financial support of the Coastal Marine Biodiversity
project in Costa Rica, Development of Capacities and Adaptation to Climate Change,
BIOMARCC, a participatory updating process was carried out to respond to new
challenges, such as the incorporation of actions for the management of the marine
sector and adaptation to climate change."""
145,Parque Nacional Tortuguero,Objectives,Maintain function/biodiversity in climate change,"""The design of projects related to climate change must take into account the local
environmental conditions, identifying the opportunities that maximize the service of
ecosystems and marine-coastal habitat in reducing the risk of disasters and adapting
to climate change in general 4."""
145,Parque Nacional Tortuguero,Objectives,Enhance overall system resilience to climate change,"""The resilience of the local inhabitants and that of the marine-coastal habitats to
the impacts of human origin and the impacts of climate change must be improved
through management using the ecosystem approach and the sustainable use of resources."""
145,Parque Nacional Tortuguero,Objectives,Monitoring climate effects and/or indicators,"""Research and
monitoring (for
example, of
climate change)"",  ""Implement a
monitoring and early warning system
for the impact of Climate Change"""
145,Parque Nacional Tortuguero,Objectives,Promote climate change research (or increase cc knowledge),"""The emphasis of the program is the focal elements of management. It is expected to generate
information on ecological integrity, basic research in the marine sector and research on climate
change that will allow generating adaptation and mitigation strategies."""
145,Parque Nacional Tortuguero,Objectives,Improve climate change awareness/education,"""2. Develop and implement communication and education programs for
communities, local stakeholders (fishermen, divers, etc.), as well as tourism
operators to create consensus and awareness that the problem of climate
change is a complex issue that requires the participation of all stakeholders."""
145,Parque Nacional Tortuguero,Management,Applied as climate strategy,"""Support local initiatives for the management of liquid waste (black
and gray water) and increase capacities to adapt to climate change"""
146,Parque Nacional Cahuita,Climate,Discusses protection as climate mitigation strategy,"""The Plan for the development of infrastructure in the Cahuita National Park Criteria for adaptation to Climate Change must be incorporated, such as its strategic location, in a way that facilitates protection, control and other management activities."""
146,Parque Nacional Cahuita,Climate,Discusses role of area as carbon sink,Lists carbon sequestration as an ecosystem service
146,Parque Nacional Cahuita,Climate,Comprehensive climate change action plan (e.g. separate plan or specific detailed section with multiple objectives and actions),Planned
146,Parque Nacional Cahuita,Objectives,General climate change adaptation,"""Contribute with measures of adaptation and mitigation of marine and coastal diversity to the impacts of climate change in the Costa Rican Caribbean."""
146,Parque Nacional Cahuita,Objectives,Enhance overall system resilience to climate change,"""Reduce vulnerability and increase resilience of the Protected Area to the impacts of climate change."""
146,Parque Nacional Cahuita,Objectives,Promote climate change research (or increase cc knowledge),"""Conduct studies on the vulnerability and risks of
biodiversity due to the effects
of climate change"""
146,Parque Nacional Cahuita,Design,Consider projected impacts or changes,Future infrastructure development (on land) must consider climate change impacts
148,Canal Luis Peña,Climate,Discusses role of area as carbon sink,"""The mangrove incorporates carbon dioxide and inorganic sulfur from the environment environment and produces large amounts of oxygen."""
148,Canal Luis Peña,Climate,Discuss limitations with respect to adaptation and/or mitigation,"""The seventh tensor refers to the impacts caused by global warming that adversely affect corals around the world. Culebra's coral reefs are not exempt from this. Due to the magnitude of this matter, we will not go into details."""
150,Banc d'Arguin National Park,Climate,Discusses role of area as carbon sink,"""This study proposes to evaluate the
""services"" rendered by the ecosystems of the Banc d'Arguin through an economic evaluation of its
ecosystems and in particular the evaluation of its contribution to the renewal of the main fish stocks
exploited by artisanal and industrial fishing in outside the Park as well as the evaluation of the
carbon storage capacity on its marine part."" ""ÿ Tropical seagrass is an important carbon sink as a primary production source that captures up to 4000g C/m2/
year.5 The soils of these muddy swamps can also store carbon. The evaluation was made in well-studied
US tidal flats (apparent yield strength of at least 210 g C/m2 /yr). The carbon sequestration capacity of
Mauritania's subtropical habitats is likely to exceed the mentioned proportion."""
150,Banc d'Arguin National Park,Objectives,General climate change adaptation,Concrete adaptation and impact mitigation measures with respect to climate change should be included in the next PNBA management plan.
150,Banc d'Arguin National Park,Objectives,Maintain function/biodiversity in climate change,The conservation value of the PNBA must be maintained in the face of growing challenges. Human activities inside and around the PNBA and the impact of climate change have consequences on the state of biodiversity. They can hinder the original conservation mission due to changes in ecosystems and biodiversity.
150,Banc d'Arguin National Park,Objectives,Provide natural reference area for climate change,"""The site is therefore ideal for assessing the vulnerability of these areas to the impacts of climate
change in West Africa and globally... The particularity of the PNBA (prehistoric delta – “living fossil”) and its geographic location, give the park the status of a privileged research area for the study of paleoclimates and climatic changes
taking place on a planetary scale"
150,Banc d'Arguin National Park,Objectives,Promote climate change research (or increase cc knowledge),"Development of a study on adaptation to the effects of climate change at the level of the PNBA (islands, islets and coastal villages) and implement its results"
150,Banc d'Arguin National Park,Assessment,Conducted climate change vulnerability assessment,0
151,Krajinski Park Strunjan,Design,Design principles applied with explicit climate change context,Infrastructure development required to take into account sea level rise; primarily land strategy therefore not included
153,"Redang Marine Park (Pulau Ekor Tebu, Pulau Lima, Pulau Pinang, Pulau Redang)",Objectives,Promote climate change research (or increase cc knowledge),"The purpose of encouraging scientific research is to build a
systematic knowledge database of marine park resources, to
understand the impact of global climate change on marine
biodiversity, and to apply the findings of scientific research in
protecting and conserving the environment within marine park
areas."
153,"Redang Marine Park (Pulau Ekor Tebu, Pulau Lima, Pulau Pinang, Pulau Redang)",Design,Protect resilient areas,High Coral Resilient Area specified
154,Great South Lagoon - Grand Lagon Sud,Objectives,Monitoring climate effects and/or indicators,"Research/monitoring: ""To build a systematic knowledge of marine park resources through coordinated and integrated scientific research, to contribute to an understanding of marine biodiversity and the impact from global climate change, and to protect and conserve the environment within Marine Park Areas."""
154,Great South Lagoon - Grand Lagon Sud,Objectives,Improve climate change awareness/education,Raising awareness about global warming and sea level rise
155,Cades Bay Marine Reserve,Climate,Discuss limitations with respect to adaptation and/or mitigation,Both these (and associated) issues and therefore their impacts are directly related to climatic systems and as such almost impossible to manage for on a local level. Climate change is reportedly responsible for increasing the frequency of hurricanes and increasing sea surface temperatures that lead to bleaching events.
156,iSimangaliso Wetland Park,Management,Strategy applied specifically for climate change,"The restoration of natural systems in an effort to improve the resilience of the Park (for example, restoration of the Lake St Lucia estuarine system, interconnection of wetlands, and dune rehabilitation at Sodwana and St Lucia)."
157,Estação Ecológica De Maracá Jipioca,Climate,Discusses role of area as carbon sink,"""Ensuring the link between the EEMJ's image and the ecosystem services it provides, such as its contribution
to food production (fish stocks in the surroundings), carbon sequestration provided by the natural succession
of growth, destruction and reappearance of mangroves, and well-being be generated by visitation."""
157,Estação Ecológica De Maracá Jipioca,Objectives,Provide natural reference area for climate change,"To be a reference in environmental research and monitoring of climate change, due to its oceanographic and insular characteristics."
157,Estação Ecológica De Maracá Jipioca,Objectives,Monitoring climate effects and/or indicators,"To be a reference in environmental research and monitoring of climate change, due to its oceanographic and insular characteristics."
157,Estação Ecológica De Maracá Jipioca,Objectives,Promote climate change research (or increase cc knowledge),"To be a reference in environmental research and monitoring of climate change, due to its oceanographic and insular characteristics."
158,Réserve Naturelle Nationale Cerbère-Banyuls,Objectives,Monitoring climate effects and/or indicators,"""Since 2006, the RNMCB has been monitoring water temperature (submerged thermometers on
RNMCB buoys with hourly recording). This device makes it possible to measure the consequences of climate change on the species of
the RNMCB: red coral, gorgonians, fish."""
160,Parque Nacional Marino las Baulas de Guanacaste,Climate,Discusses protection as climate mitigation strategy,Climate regulation mentioned as an ecosystem service
160,Parque Nacional Marino las Baulas de Guanacaste,Climate,Discusses role of area as carbon sink,Carbon fixation mentioned as an ecosystem service
160,Parque Nacional Marino las Baulas de Guanacaste,Climate,Comprehensive climate change action plan (e.g. separate plan or specific detailed section with multiple objectives and actions),Plan for research and monitoring of the impacts of climate change with 5 specific actions
160,Parque Nacional Marino las Baulas de Guanacaste,Objectives,Enhance overall system resilience to climate change,"""Ecosystem services: climate regulation of the planet"""
160,Parque Nacional Marino las Baulas de Guanacaste,Objectives,Monitoring climate effects and/or indicators,"Climate variables monitoring plan: ""Monitor changes due to sedimentation and coastal erosion at fixed points on
the coast"" ""Monitor the rise and fall of the sea and associated variables such as
acidification and temperature"" ""Monitor water quality indicators in the mangrove swamp and at the mouth of
the estuaries"""
160,Parque Nacional Marino las Baulas de Guanacaste,Objectives,Promote climate change research (or increase cc knowledge),"""Goal: At the end of 2017, the PNMLB has established a plan for research and monitoring of climatic variables"" ""Checker: Number of scientific articles published, number of theses written"""
161,Refugio Nacional de Vida Silvestre Camaronal,Climate,Discusses protection as climate mitigation strategy,"""These two important gaps for national
conservation are also important for maintaining the functional connectivity of the Camaronal RNVS both at
the water and terrestrial levels and can provide an important altitudinal gradient to temporarily mitigate the
effects of climate change on plant and animal species other than those turtles, also strengthening the
connectivity strategy of the Hojancha Nandayure biological corridor."""
161,Refugio Nacional de Vida Silvestre Camaronal,Climate,Discusses role of area as carbon sink,"""The role that these ecosystems
play in capturing carbon and in regulating the effects of the marine area on the terrestrial part is well known,"""
161,Refugio Nacional de Vida Silvestre Camaronal,Objectives,General climate change adaptation,"""Implement the climate change adaptation and mitigation measures necessary to guarantee the permanence of the conservation objects of the Refuge."""
161,Refugio Nacional de Vida Silvestre Camaronal,Objectives,Monitoring climate effects and/or indicators,"""Specific monitoring of physical and environmental variables of the beach"""
161,Refugio Nacional de Vida Silvestre Camaronal,Objectives,Improve climate change awareness/education,"""Environmental education on the subject [of climate change]"""
161,Refugio Nacional de Vida Silvestre Camaronal,Assessment,Conducted climate change vulnerability assessment,Risk analysis includes climate change as a threat
162,Refugio Nacional de Vida Silvestre Gandoca Manzanillo,Climate,Discusses protection as climate mitigation strategy,"""Strategic objectives of the National Wildlife Refuge Gandoca Manzanillo are:...Develop adaptation actions to climate change in the RNVS-GM"""
162,Refugio Nacional de Vida Silvestre Gandoca Manzanillo,Climate,Comprehensive climate change action plan (e.g. separate plan or specific detailed section with multiple objectives and actions),Climate Change Adaptation and Mitigation Program
162,Refugio Nacional de Vida Silvestre Gandoca Manzanillo,Objectives,General climate change adaptation,Develop Climate Change Adaptation and Mitigation Plan
162,Refugio Nacional de Vida Silvestre Gandoca Manzanillo,Objectives,Maintain function/biodiversity in climate change,"""Increase the resilience and reduce the vulnerability of the RNVS-GM to the impacts of climate change,
on biodiversity and the inhabitants, through the development of mitigation and adaptation strategies"""
162,Refugio Nacional de Vida Silvestre Gandoca Manzanillo,Objectives,Enhance overall system resilience to climate change,"""Increase the resilience and reduce the vulnerability of the RNVS-GM to the impacts of climate change,
on biodiversity and the inhabitants, through the development of mitigation and adaptation strategies"""
162,Refugio Nacional de Vida Silvestre Gandoca Manzanillo,Objectives,Monitoring climate effects and/or indicators,Weather monitoring for understanding climate variation
162,Refugio Nacional de Vida Silvestre Gandoca Manzanillo,Objectives,Improve climate change awareness/education,"""Coordinate training spaces for officials, aimed at increasing their knowledge about the management of ASPs and climate change."""
162,Refugio Nacional de Vida Silvestre Gandoca Manzanillo,Design,Design principles applied with explicit climate change context,Climate change listed in justifications of zoning
162,Refugio Nacional de Vida Silvestre Gandoca Manzanillo,Design,Consider projected impacts or changes,Climate change listed in justifications of zoning
164,Area de Conservacion Guanacaste,Climate,Discusses protection as climate mitigation strategy,"""Recently, the restoration of extensive natural areas has become particularly important as a strategy for adaptation to global climate change to ensure the displacement of species"""
164,Area de Conservacion Guanacaste,Climate,Discusses role of area as carbon sink,"""The productivity of the ACG is reflected in goods and services such as...carbon sequestration"""
164,Area de Conservacion Guanacaste,Objectives,Maintain function/biodiversity in climate change,"""...the consolidation of the gradient from dry to cloud forest has allowed the connectivity of plant diversity and the continuity of its ecological  processes, which helps to mitigate vulnerability to global climate change"""
